Lớp,Mã HP,Môn,TC,LT,TH,Tự học,PCGD,SS lớp,Mã LHP,Nhóm,LT/TH,Thứ,Ca,GĐ,GV,Ghi chú,Ghi chú
K69I-IT1-6,FLF1108,Tiếng Anh B2,5,20,35,,9,45,FLF1108 8,CL,LT,7,3-4,105-T,Đỗ Vũ Nhật Minh,,"Học 2 ca/10 tuần, thi đợt 1"
K69I-IT1,ELT2035,Tín hiệu và hệ thống,3,45,,,2,60,ELT2035 1,CL,LT,3,3,206-B,Đinh Thị Thái Mai,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IT2,ELT2035,Tín hiệu và hệ thống,3,45,,,2,60,ELT2035 2,CL,LT,4,1,407-B,Đinh Thị Thái Mai,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IT3,ELT2035,Tín hiệu và hệ thống,3,45,,,2,60,ELT2035 3,CL,LT,6,2,104-B,Lê Trần Mạnh,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IT4,ELT2035,Tín hiệu và hệ thống,3,45,,,2,60,ELT2035 4,CL,LT,6,4,402-B,Lê Trần Mạnh,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IT5,ELT2035,Tín hiệu và hệ thống,3,45,,,2,60,ELT2035 5,CL,LT,2,2,407-B,Lê Trần Mạnh,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IT6,ELT2035,Tín hiệu và hệ thống,3,45,,,2,60,ELT2035 6,CL,LT,4,2,502-B,Lê Vũ Hà,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IT1,INT2208,Công nghệ phần mềm,3,45,,,1,60,INT2208 1,CL,LT,3,2,206-B,Nguyễn Đức Anh,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IT2,INT2208,Công nghệ phần mềm,3,45,,,1,60,INT2208 2,CL,LT,2,2,508-B,Đặng Đức Hạnh,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IT3,INT2208,Công nghệ phần mềm,3,45,,,1,60,INT2208 3,CL,LT,4,3,402-B,Phạm Ngọc Hùng,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IT4,INT2208,Công nghệ phần mềm,3,45,,,1,60,INT2208 4,CL,LT,5,2,507-B,Vũ Thị Hồng Nhạn,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IT5,INT2208,Công nghệ phần mềm,3,45,,,1,60,INT2208 5,CL,LT,2,1,407-B,Đặng Đức Hạnh,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IT6,INT2208,Công nghệ phần mềm,3,45,,,1,60,INT2208 6,CL,LT,3,4,307-B,Trần Hoàng Việt,,"Học 1 ca/15 tuần, thi đợt 2"
